Country,Area Id,Variable Name,Variable Id,Year,Value,Symbol,Md,
Afghanistan,4,SDG 6.4.2. Water Stress,4550,2017,54.75701944,E,,0
Albania,8,SDG 6.4.2. Water Stress,4550,2017,6.556490385,E,,0
Algeria,12,SDG 6.4.2. Water Stress,4550,2017,137.9203602,E,,0
Angola,24,SDG 6.4.2. Water Stress,4550,2017,1.871883289,E,,0
Antigua and Barbuda,28,SDG 6.4.2. Water Stress,4550,2017,8.461538462,I,,0
Argentina,32,SDG 6.4.2. Water Stress,4550,2017,10.45666408,E,,0
Armenia,51,SDG 6.4.2. Water Stress,4550,2017,57.79705467,E,,0
Australia,36,SDG 6.4.2. Water Stress,4550,2017,4.274491355,E,,0
Austria,40,SDG 6.4.2. Water Stress,4550,2017,9.643547941,E,,0
Azerbaijan,31,SDG 6.4.2. Water Stress,4550,2017,53.00728638,E,,0
Bahrain,48,SDG 6.4.2. Water Stress,4550,2017,133.7068966,I,,0
Bangladesh,50,SDG 6.4.2. Water Stress,4550,2017,5.723339482,E,,0
Barbados,52,SDG 6.4.2. Water Stress,4550,2017,87.5,I,,0
Belarus,112,SDG 6.4.2. Water Stress,4550,2017,4.604482531,E,,0
Belgium,56,SDG 6.4.2. Water Stress,4550,2017,49.06633907,E,,0
Belize,84,SDG 6.4.2. Water Stress,4550,2017,1.260294485,E,,0
Benin,204,SDG 6.4.2. Water Stress,4550,2017,0.975243811,E,,0
Bhutan,64,SDG 6.4.2. Water Stress,4550,2017,1.413807531,E,,0
Bolivia,68,SDG 6.4.2. Water Stress,4550,2017,1.177001127,E,,0
Bosnia and Herzegovina,70,SDG 6.4.2. Water Stress,4550,2017,2.662018592,E,,0
Botswana,72,SDG 6.4.2. Water Stress,4550,2017,2.018195127,E,,0
Brazil,76,SDG 6.4.2. Water Stress,4550,2017,3.105437352,E,,0
Brunei Darussalam,96,SDG 6.4.2. Water Stress,4550,2017,3.466465712,E,,0
Bulgaria,100,SDG 6.4.2. Water Stress,4550,2017,41.82127282,E,,0
Burkina Faso,854,SDG 6.4.2. Water Stress,4550,2017,7.820267686,E,,0
Burundi,108,SDG 6.4.2. Water Stress,4550,2017,10.19286754,E,,0
Cabo Verde,132,SDG 6.4.2. Water Stress,4550,2017,8.433333333,E,,0
Cambodia,116,SDG 6.4.2. Water Stress,4550,2017,1.036544851,E,,0
Cameroon,120,SDG 6.4.2. Water Stress,4550,2017,1.560430108,E,,0
Canada,124,SDG 6.4.2. Water Stress,4550,2017,3.666323378,E,,0
Central African Republic,140,SDG 6.4.2. Water Stress,4550,2017,0.335648148,E,,0
Chad,148,SDG 6.4.2. Water Stress,4550,2017,4.294921875,E,,0
Chile,152,SDG 6.4.2. Water Stress,4550,2017,21.61926046,E,,0
China,156,SDG 6.4.2. Water Stress,4550,2017,43.22168826,E,,0
Colombia,170,SDG 6.4.2. Water Stress,4550,2017,4.189123876,E,,0
Comoros,174,SDG 6.4.2. Water Stress,4550,2017,0.833333333,I,,0
"Congo, Rep.",178,SDG 6.4.2. Water Stress,4550,2017,0.027446301,E,,0
Costa Rica,188,SDG 6.4.2. Water Stress,4550,2017,4.834726963,E,,0
Cote d'Ivoire,384,SDG 6.4.2. Water Stress,4550,2017,5.087565674,E,,0
Croatia,191,SDG 6.4.2. Water Stress,4550,2017,1.495998221,E,,0
Cuba,192,SDG 6.4.2. Water Stress,4550,2017,23.93944607,E,,0
Cyprus,196,SDG 6.4.2. Water Stress,4550,2017,29.52433024,E,,0
Czechia,203,SDG 6.4.2. Water Stress,4550,2017,24.78710462,E,,0
"Korea, Dem. People's Rep.",408,SDG 6.4.2. Water Stress,4550,2017,27.7404678,E,,0
"Congo, Dem. Rep.",180,SDG 6.4.2. Water Stress,4550,2017,0.226883505,E,,0
Denmark,208,SDG 6.4.2. Water Stress,4550,2017,24.09126555,E,,0
Djibouti,262,SDG 6.4.2. Water Stress,4550,2017,6.333333333,I,,0
Dominica,212,SDG 6.4.2. Water Stress,4550,2017,10,I,,0
Dominican Republic,214,SDG 6.4.2. Water Stress,4550,2017,39.55331412,E,,0
Ecuador,218,SDG 6.4.2. Water Stress,4550,2017,6.782352941,E,,0
"Egypt, Arab Rep.",818,SDG 6.4.2. Water Stress,4550,2017,141.1657559,E,,0
El Salvador,222,SDG 6.4.2. Water Stress,4550,2017,13.21272614,E,,0
Equatorial Guinea,226,SDG 6.4.2. Water Stress,4550,2017,0.183503244,E,,0
Eritrea,232,SDG 6.4.2. Water Stress,4550,2017,11.17511521,E,,0
Estonia,233,SDG 6.4.2. Water Stress,4550,2017,19.31709957,E,,0
Eswatini,748,SDG 6.4.2. Water Stress,4550,2017,77.55991285,E,,0
Ethiopia,231,SDG 6.4.2. Water Stress,4550,2017,32.25718654,E,,0
Fiji,242,SDG 6.4.2. Water Stress,4550,2017,0.29737303,I,,0
Finland,246,SDG 6.4.2. Water Stress,4550,2017,5.454114299,E,,0
France,250,SDG 6.4.2. Water Stress,4550,2017,23.64265079,E,,0
Gabon,266,SDG 6.4.2. Water Stress,4550,2017,0.502166065,E,,0
"Gambia, The",270,SDG 6.4.2. Water Stress,4550,2017,2.209656372,E,,0
Georgia,268,SDG 6.4.2. Water Stress,4550,2017,4.477296417,E,,0
Germany,276,SDG 6.4.2. Water Stress,4550,2017,33.50191886,E,,0
Ghana,288,SDG 6.4.2. Water Stress,4550,2017,6.314734089,E,,0
Greece,300,SDG 6.4.2. Water Stress,4550,2017,20.5017196,E,,0
Grenade,308,SDG 6.4.2. Water Stress,4550,2017,7.05,I,,0
Guatemala,320,SDG 6.4.2. Water Stress,4550,2017,5.742097081,E,,0
Guinea,324,SDG 6.4.2. Water Stress,4550,2017,1.33183432,E,,0
Guinea-Bissau,624,SDG 6.4.2. Water Stress,4550,2017,1.495726496,E,,0
Guyana,328,SDG 6.4.2. Water Stress,4550,2017,3.298401827,E,,0
Haiti,332,SDG 6.4.2. Water Stress,4550,2017,13.38379177,E,,0
Honduras,340,SDG 6.4.2. Water Stress,4550,2017,4.621268764,E,,0
Hungary,348,SDG 6.4.2. Water Stress,4550,2017,7.77029361,E,,0
Iceland,352,SDG 6.4.2. Water Stress,4550,2017,0.394075282,E,,0
India,356,SDG 6.4.2. Water Stress,4550,2017,66.49209283,E,,0
Indonesia,360,SDG 6.4.2. Water Stress,4550,2017,29.69654528,E,,0
"Iran, Islamic Rep.",364,SDG 6.4.2. Water Stress,4550,2017,81.28908129,E,,0
Iraq,368,SDG 6.4.2. Water Stress,4550,2017,60.48174157,E,,0
Ireland,372,SDG 6.4.2. Water Stress,4550,2017,6.508929526,E,,0
Israel,376,SDG 6.4.2. Water Stress,4550,2017,103.6148736,E,,0
Italy,380,SDG 6.4.2. Water Stress,4550,2017,29.99885452,E,,0
Jamaica,388,SDG 6.4.2. Water Stress,4550,2017,12.4734362,I,,0
Japan,392,SDG 6.4.2. Water Stress,4550,2017,36.45977011,E,,0
Jordan,400,SDG 6.4.2. Water Stress,4550,2017,100.077528,E,,0
Kazakhstan,398,SDG 6.4.2. Water Stress,4550,2017,31.13730929,E,,0
Kenya,404,SDG 6.4.2. Water Stress,4550,2017,33.23990107,E,,0
Kuwait,414,SDG 6.4.2. Water Stress,4550,2017,3850.5,E,,0
Kyrgyzstan,417,SDG 6.4.2. Water Stress,4550,2017,50.03895598,E,,0
Lao PDR,418,SDG 6.4.2. Water Stress,4550,2017,4.771838331,E,,0
Latvia,428,SDG 6.4.2. Water Stress,4550,2017,1.067280854,E,,0
Lebanon,422,SDG 6.4.2. Water Stress,4550,2017,58.79299156,E,,0
Lesotho,426,SDG 6.4.2. Water Stress,4550,2017,2.565905097,E,,0
Liberia,430,SDG 6.4.2. Water Stress,4550,2017,0.264311594,E,,0
Libya,434,SDG 6.4.2. Water Stress,4550,2017,817.1428571,I,,0
Lithuania,440,SDG 6.4.2. Water Stress,4550,2017,1.867339582,E,,0
Luxembourg,442,SDG 6.4.2. Water Stress,4550,2017,3.781094527,E,,0
Madagascar,450,SDG 6.4.2. Water Stress,4550,2017,11.26150628,E,,0
Malawi,454,SDG 6.4.2. Water Stress,4550,2017,17.50483809,E,,0
Malaysia,458,SDG 6.4.2. Water Stress,4550,2017,3.43948718,E,,0
Maldives,462,SDG 6.4.2. Water Stress,4550,2017,15.66666667,I,,0
Mali,466,SDG 6.4.2. Water Stress,4550,2017,8.00308642,E,,0
Malta,470,SDG 6.4.2. Water Stress,4550,2017,91.08910891,E,,0
Mauritania,478,SDG 6.4.2. Water Stress,4550,2017,13.24621733,E,,0
Mauritius,480,SDG 6.4.2. Water Stress,4550,2017,22.173755,E,,0
Mexico,484,SDG 6.4.2. Water Stress,4550,2017,32.94972017,E,,0
Mongolia,496,SDG 6.4.2. Water Stress,4550,2017,3.395007342,E,,0
Morocco,504,SDG 6.4.2. Water Stress,4550,2017,50.75121202,E,,0
Mozambique,508,SDG 6.4.2. Water Stress,4550,2017,1.751486326,E,,0
Myanmar,104,SDG 6.4.2. Water Stress,4550,2017,5.801501397,E,,0
Namibia,516,SDG 6.4.2. Water Stress,4550,2017,0.861552567,E,,0
Nepal,524,SDG 6.4.2. Water Stress,4550,2017,8.311832662,E,,0
Netherlands,528,SDG 6.4.2. Water Stress,4550,2017,15.02980824,E,,0
New Zealand,554,SDG 6.4.2. Water Stress,4550,2017,8.04808476,E,,0
Nicaragua,558,SDG 6.4.2. Water Stress,4550,2017,2.692428472,E,,0
Niger,562,SDG 6.4.2. Water Stress,4550,2017,7.453924915,E,,0
Nigeria,566,SDG 6.4.2. Water Stress,4550,2017,9.668217054,E,,0
North Macedonia,807,SDG 6.4.2. Water Stress,4550,2017,25.26621491,E,,0
Norway,578,SDG 6.4.2. Water Stress,4550,2017,2.046463878,E,,0
Oman,512,SDG 6.4.2. Water Stress,4550,2017,116.7142857,E,,0
Pakistan,586,SDG 6.4.2. Water Stress,4550,2017,122.6734556,E,,0
Palestine,275,SDG 6.4.2. Water Stress,4550,2017,41.07830552,E,,0
Panama,591,SDG 6.4.2. Water Stress,4550,2017,0.90107111,E,,0
Papua New Guinea,598,SDG 6.4.2. Water Stress,4550,2017,0.132242833,E,,0
Paraguay,600,SDG 6.4.2. Water Stress,4550,2017,1.835399711,E,,0
Peru,604,SDG 6.4.2. Water Stress,4550,2017,4.772963665,E,,0
Philippines,608,SDG 6.4.2. Water Stress,4550,2017,28.35524304,E,,0
Poland,616,SDG 6.4.2. Water Stress,4550,2017,34.89096573,E,,0
Portugal,620,SDG 6.4.2. Water Stress,4550,2017,12.37988748,E,,0
Puerto Rico,630,SDG 6.4.2. Water Stress,4550,2017,19.53561063,E,,0
Qatar,634,SDG 6.4.2. Water Stress,4550,2017,431.0344828,E,,0
"Korea, Rep.",410,SDG 6.4.2. Water Stress,4550,2017,85.22183304,E,,0
Moldova,498,SDG 6.4.2. Water Stress,4550,2017,12.47401247,E,,0
Romania,642,SDG 6.4.2. Water Stress,4550,2017,6.341166557,E,,0
Russian Federation,643,SDG 6.4.2. Water Stress,4550,2017,4.096168705,E,,0
Rwanda,646,SDG 6.4.2. Water Stress,4550,2017,6.089403974,E,,0
St. Kitts and Nevis,659,SDG 6.4.2. Water Stress,4550,2017,50.83333333,I,,0
St. Lucia,662,SDG 6.4.2. Water Stress,4550,2017,14.3,I,,0
St. Vincent and the Grenadines,670,SDG 6.4.2. Water Stress,4550,2017,7.9,I,,0
Sao Tome and Principe,678,SDG 6.4.2. Water Stress,4550,2017,1.876146789,I,,0
Saudi Arabia,682,SDG 6.4.2. Water Stress,4550,2017,883.3333333,E,,0
Senegal,686,SDG 6.4.2. Water Stress,4550,2017,11.80728336,E,,0
Serbia,688,SDG 6.4.2. Water Stress,4550,2017,6.059957173,E,,0
Sierra Leone,694,SDG 6.4.2. Water Stress,4550,2017,0.495794393,E,,0
Singapore,702,SDG 6.4.2. Water Stress,4550,2017,83.21666667,E,,0
Slovakia,703,SDG 6.4.2. Water Stress,4550,2017,2.393717728,E,,0
Slovenia,705,SDG 6.4.2. Water Stress,4550,2017,6.29749831,E,,0
Somalia,706,SDG 6.4.2. Water Stress,4550,2017,24.52774059,E,,0
South Africa,710,SDG 6.4.2. Water Stress,4550,2017,62.05571566,E,,0
South Sudan,728,SDG 6.4.2. Water Stress,4550,2017,4.226075787,E,,0
Spain,724,SDG 6.4.2. Water Stress,4550,2017,42.56441718,E,,0
Sri Lanka,144,SDG 6.4.2. Water Stress,4550,2017,90.78541374,E,,0
Sudan,729,SDG 6.4.2. Water Stress,4550,2017,118.6563877,E,,0
Suriname,740,SDG 6.4.2. Water Stress,4550,2017,3.950609365,E,,0
Sweden,752,SDG 6.4.2. Water Stress,4550,2017,3.427128427,E,,0
Switzerland,756,SDG 6.4.2. Water Stress,4550,2017,6.498855835,E,,0
Syrian Arab Republic,760,SDG 6.4.2. Water Stress,4550,2017,124.3601389,E,,0
Tajikistan,762,SDG 6.4.2. Water Stress,4550,2017,52.69824515,E,,0
Thailand,764,SDG 6.4.2. Water Stress,4550,2017,23.01393518,E,,0
Timor-Leste,626,SDG 6.4.2. Water Stress,4550,2017,28.26821032,E,,0
Togo,768,SDG 6.4.2. Water Stress,4550,2017,3.391634981,E,,0
Trinidad and Tobago,780,SDG 6.4.2. Water Stress,4550,2017,20.32648126,E,,0
Tunisia,788,SDG 6.4.2. Water Stress,4550,2017,89.53101592,E,,0
Turkey,792,SDG 6.4.2. Water Stress,4550,2017,43.66707643,E,,0
Turkmenistan,795,SDG 6.4.2. Water Stress,4550,2017,143.5600206,E,,0
Uganda,800,SDG 6.4.2. Water Stress,4550,2017,5.82799634,E,,0
Ukraine,804,SDG 6.4.2. Water Stress,4550,2017,13.87017362,E,,0
United Arab Emirates,784,SDG 6.4.2. Water Stress,4550,2017,1708,E,,0
United Kingdom,826,SDG 6.4.2. Water Stress,4550,2017,14.35464621,E,,0
Tanzania,834,SDG 6.4.2. Water Stress,4550,2017,12.96324081,E,,0
United States,840,SDG 6.4.2. Water Stress,4550,2017,28.16198427,E,,0
Uruguay,858,SDG 6.4.2. Water Stress,4550,2017,9.786096257,E,,0
Uzbekistan,860,SDG 6.4.2. Water Stress,4550,2017,168.9131058,E,,0
"Venezuela, RB",862,SDG 6.4.2. Water Stress,4550,2017,7.540366667,E,,0
Vietnam,704,SDG 6.4.2. Water Stress,4550,2017,18.13031538,E,,0
"Yemen, Rep.",887,SDG 6.4.2. Water Stress,4550,2017,169.7619048,I,,0
Zambia,894,SDG 6.4.2. Water Stress,4550,2017,2.835497836,E,,0
Zimbabwe,716,SDG 6.4.2. Water Stress,4550,2017,31.34622606,E,,0
,,,,,,,,
,,,,,,,,
#NAME?,,,,,,,,
#NAME?,,,,,,,,
#NAME?,,,,,,,,
#NAME?,,,,,,,,
(c)  FAO of the UN,,,,,,,,
The information contained in AQUASTAT is provided free of charge to all users. Recommended citation:<br/>,,,,,,,,
"FAO [Year of publication].AQUASTAT Database. AQUASTAT&nbsp;<a href=""""http://www.fao.org/nr/water/aquastat/data/query/index.html?lang=en"""" target=""""_blank"""">Website</a>&nbsp;accessed on&nbsp;[02/08/2022 18:57]",,,,,,,,
 ,,,,,,,,